# JianYing Cloud Music Library
# AI Guidance: Use 'music_id' to reference. If not in cache, ask user to 'Sync Music' or use cloud API.
# Schema: identifier,title,duration_s,categories
music_id,title,duration_s,categories
7086058997194689311,@摘星.创作的原声,14.0,douyin_collect
7306575037883271169,Bad Tavern,62.0,流行
7544252159652972607,Break It Up Groovy Electronic Disco Funk Main,100.37,动感
7547163381062158387,Cafe au Lait 4,233.67,VLOG|冬天
7509329737476933649,Deadman,235.8,抖音热门
7511325370465978387,Echo of You（剪辑版）,58.0,抖音热门
7377842959488223270,Energy Electronic Sports Music,106.17,动感|混剪|游戏|运动
7306574761856894978,Few Founder,62.5,流行
7376283782371969061,Groovy hammond,101.97,搞怪
6835071483849476098,Illuminate,209.73,影视
7377952756664092691,Indie Upbeat Fun,82.77,动感
7120226065443883009,Intro,29.0,周杰伦
7546573332112623662,Light Glow,242.8,国风
7377945756932540452,MINER,64.67,搞怪
7274152599690266635,Minimalism Ambient,145.73,冬天
7176685873453500417,More of My Time (Lofi),136.53,VLOG
7546546694282676275,Neon Reflections,244.6,VLOG
7123233839295498243,Oh Father,227.77,亲情
7378229442201995327,Romantic  浪漫,122.13,💘情人节
7094850004280199169,SOSA,60.0,抖音热门
7306574893382289409,Shallow Cultivator,62.0,流行
6782876242568808449,Stargazing,54.97,影视
6956892707935504386,Start Dancing,19.53,卡点|酷炫
7506449178214730536,Strawberry Cream （剪辑版）,22.1,抖音热门
7335395405296831242,Take me hand（Zy版全网听）,27.03,抖音热门
7273890326624356412,The Nightowl-CAPPTV (In),216.3,推荐音乐|酷炫
7273886682624329789,Tropical House,143.53,VLOG|动感
7546560773692655625,Unbox the Future 2,228.8,游戏|运动
7546570331697301523,Whispered Blossoms 2,258.97,VLOG|旅行
7546555742032906276,Whispers of the Peak,479.97,推荐音乐
7306575101956442114,Winding Veneer,62.0,流行
7604017933991561999,You And Me_Jamvana/ZEKEN,15.13,抖音热门
6749776297062303745,一路向北,60.0,周杰伦
7274073894435932219,万物复苏的春天,69.23,夏日
7208772324714088450,下一站思念（优美的钢琴曲）,132.73,伤感
7378286695441254439,中华 美食 优美 清新 风景,149.0,美食
7377838280643430441,中国崛起 大气宣传片,503.53,推荐音乐
7429060151720085555,中国风 文化 旅游 宣传,178.7,国风
7429107524705667082,中国风 舒缓 抒情 平稳,297.07,纯音乐|🧧新春
7377869957394073612,乐观活力  Upbeat Energetic,121.9,卡点
7442402363027785737,亲子欢乐时光曲,60.0,亲情
7390279383657859073,亿点点偷感（可爱无厘头bgm）,60.0,抖音热门
7419391950979844133,企业宣传片明亮轻快 成功时刻,228.0,推荐音乐
7377916417377077311,企业形象科技进取创新  Daily Victories,138.13,混剪
7377847594314287123,企业形象进取创新  Upbeat Corporate Motivational,130.57,VLOG
7376161021164374053,企业形象阳光拼搏  Inspiring Uplifting Corporate,149.43,清新|轻快
7376261045767227429,企业青春励志阳光  Good News,129.23,运动
7448458972345419788,充满活力的推广,111.43,卡点
7401479807382341648,克拉里斯wg,168.97,轻快
7586529904226830377,冬至新年 温暖幸福中国节传统乐器,112.5,🧧新春
7444140263105316914,冬至温馨团圆,60.0,亲情
7274050348452087819,准备出发,69.6,旅行
7377896663028140071,剧情影视温馨浪漫愉悦  SpringWaltz,78.17,💘情人节
7376298933192411186,剧情感宁静舒缓弦乐  Peaceful Garden,417.6,冬天
7376259871501764644,剧情感宁静舒缓自由 Wanderscape,139.37,冬天
7378208260270311465,剧情有趣可爱  French Cuisine,130.3,可爱|萌宠|轻快
7592079909348280326,午后 吉他 阳光 轻松（午后音乐）,144.07,✨最新|推荐音乐|清新
7378199821792479244,华尔兹手风琴古典  Little Paris,134.27,可爱|萌宠
7449276669758867483,危险升级 - 完整长度,200.0,推荐音乐
7376286564488022054,叙事钢琴曲  Ishtar,380.67,推荐音乐|舒缓
7451544800148916233,古风 喜庆 节日盛典,104.03,🧧新春
7380251313567402023,古风 舒缓 叙事 恬静,139.0,国风
7420080182897920011,古风国潮-春风渡,175.33,国风
6702218125842057217,可爱女人,60.0,周杰伦
7377838447761213490,可爱宝宝  Cute Baby,98.27,可爱|萌宠
7378259258019973158,可爱温馨  中国风Beat,199.8,🧧新春
7433426367347722279,可爱灵动搞怪 节奏感,60.0,流行
7376164934629738505,可爱童真节奏  Happy Ukulele Fun Kids,146.53,可爱|萌宠
7274161168767469631,可爱萌萌哒,104.47,搞怪
7594660176638298150,听雪融化 伤感安静钢琴,88.23,✨最新|冬天
7556097575489423398,唤醒（Phonk）,182.4,推荐音乐|混剪
7419373771465312272,商务 明亮轻快  活力 自信 企业-属于自己的舞台,180.0,推荐音乐
7377843352954243081,商务宣传 科技 产品展示,113.4,推荐音乐
7428291025469736996,喂声 惊叹,1.07,搞怪
7492240950598846514,喜剧幽默搞笑古风  four,74.47,搞怪
7376171441770334234,喜庆中国传统节日  中国节日 欢喜 春节中秋节端午节七夕节元宵节新年,90.9,🧧新春
7378207444276971561,回忆故事抒情  Cinematic Picture,292.07,伤感
7378253182076356658,国潮 端午春节过年  喜庆热闹 中国风,190.57,🧧新春
7376166723030009882,国风宫殿庄重宴请  庄严 唯美 古风,152.13,国风
7140215420887238658,在赛博朋克中,150.5,卡点
7442317749097285683,壮丽山河交响乐,60.0,影视
7442332477220358194,夜思轻音宁静,60.0,亲情
7590209615511210026,大气史诗国风宫阙s高潮完整版,166.97,✨最新|国风
7377838878989813787,大气震撼 史诗宣传 励志,326.43,夏日|推荐音乐|游戏
7556444117095335975,奈良春日,163.8,治愈|舒缓
7377926071503669260,奋斗  Corporate Motivational,160.67,运动
7377585214069590042,奢华生活  Stylish Funk01,145.73,VLOG
7452932405427554341,好心情,157.53,VLOG
7376237956272375862,好斗急躁节奏卡点  Cyberpunk Cinematic Trailer,149.07,动感
7376211780336371739,孤零  Isolated,108.2,伤感
7376189385343633434,宁静放松纯净安静  Calm Piano Beauty,168.27,冬天|治愈|舒缓
7273849169918674999,宁静钢琴独奏 - 007 Gianfranco Barbera - Girotondo,364.27,冬天
7144983837390178306,安静的复苏（舒缓钢琴曲）,139.63,旅行
7378278153687500841,安静舒缓的钢琴曲19,201.97,推荐音乐|舒缓
7444194474611247131,宏伟世界交响乐,60.0,影视
7592079422733092927,宣传片 鼓点,158.07,卡点
7376158659254945811,宣传片充满希望的背景,210.3,推荐音乐
7377931567359084556,宣传片励志摇滚热血  Going back to Business,116.0,夏日|旅行
7273789333734311992,宣传片温馨美好健康 - A Tale of Beauty,141.13,冬天
6832516742900631560,家《Home》古典吉他,245.47,亲情
7153501573267834893,家的感觉,69.63,亲情
7457715181004359681,家（伴奏）,302.83,亲情
7419332621832112144,小清新可爱广告剧情-像向日葵一样,151.77,可爱|萌宠
7590295203321088041,平静放松 Quiet relaxing music by moonlight一,190.93,✨最新
7592079836189968438,幽深 宁静 钢琴（深夜音乐）,165.23,✨最新
7377836222939924490,影视剧情悲伤叙事  A Piantive cello,134.8,伤感
7492240999302678538,影视搞笑喜剧恶作剧,65.63,搞怪
7378196063251482634,影视氛围悲伤叙事  Calm in the Night,151.87,伤感
7491889725902555162,快乐的小美好,150.87,清新
7378206942122903615,快乐童趣活泼  Happy Day,142.93,可爱|萌宠
7553592663850764326,快闪 打击乐 广告,115.0,卡点
7419434036524943386,恋爱主题小清新-遇见,113.23,💘情人节
7377934428658321420,悠闲宁静温暖梦幻放松,180.0,冬天
7376171533658802214,悬疑 恐怖 侦探 剧情 电影 犯罪 惊悚 真相,122.77,影视
7408485657583093798,惊悚史诗之战,60.0,影视
7503001892704897807,想自由(人和人的沟通)_王安宇版,36.2,抖音热门
7553590964759431195,愉快 轻快 放松,122.9,可爱|美食|萌宠|轻快
7274006056442955788,愉悦自由氛围音乐 - Up in the Clouds,229.93,夏日
7378243316246775819,感性抒情氛围  Kind Soul,225.0,治愈|纯音乐|舒缓
7377896533596178468,感性抒情氛围  Soothing Light 15 minutes background music,900.0,推荐音乐
7592079489258129462,慵懒  穿搭分享,148.03,✨最新
7377925861780293673,慵懒轻松波萨诺瓦,147.3,夏日|清新
7444185982100768795,戏剧性电影配乐,60.0,影视
7079023263531976706,战场（激烈的动作预告片）,88.33,游戏
7553527066014222374,战斗,111.73,国风
7553544962089175067,所念皆星河 钢琴演奏,221.0,治愈|舒缓
7380212500313638948,抒情 伤感 煽情,115.27,伤感
7491917690601457673,抒情 悠扬 舒缓 柔和 长笛 回忆Lyrical melodious,177.77,推荐音乐|舒缓
7491915172098590729,抒情 轻音乐 优美 旋律 舒缓 放松 鼓点 钢琴,220.87,治愈|清新|纯音乐|舒缓|轻快
7491911270162827274,抒情希望剧情钢琴,240.0,推荐音乐
7592497106133764134,抒情浪漫爵士吉他 Coffeehouse Mood Jazz Guitar,287.57,💘情人节
7553555656621836297,拂潮录 (伴奏),250.67,国风
7376186121872082995,搞笑卡通诙谐幽默  Funny Quirky Latin,137.47,搞怪
7377870949817305107,故事情绪 强烈色彩,157.9,伤感
7378308525301696531,新年 春节 元宵节 喜庆 中国风,144.7,🧧新春
7444193936376317990,新年摇滚狂欢曲,60.0,流行
7376345424141174820,无法言说  Words Are Not Enough  Piano,184.67,伤感
7376163573980465202,时尚动感放克节奏  Funk,168.0,动感
7274070492730329149,时尚燃烧冲击开幕 - Cyberpunk Techno Sport Action,133.2,酷炫
7376298242855946291,春满长桥  Spring in Long Bridge,142.13,国风
7451544567759570970,春节 普天同庆 欢快,170.9,🧧新春
7376277204059686963,春节喜庆新年热闹,62.77,🧧新春
7553853259138123817,晚风与你,90.5,治愈|舒缓
6817732868639295489,晴天,60.0,周杰伦
6954386844214396965,欢乐儿童 Happy Kids,142.17,萌宠
7376280060168472627,欢乐喜庆过大年  春节喜庆元旦过年热闹,123.63,🧧新春
7376303403825793075,欢乐愉悦趣味滑稽  Get Up That Feeling,137.17,搞怪
7377943910721194023,欢乐时光,105.0,旅行
7449288063975163914,欢快产品,146.67,清新|纯音乐
7442352624450029595,欢快流行旋律,60.0,流行
7442290332069595145,欢快电子潮音,60.0,流行
7419423058613536794,民俗传统美食广告 飘香,148.6,美食
7590287427770026047,民俗美食烟火气市井,76.23,美食
7452927755211147275,永不放弃希望,344.73,纯音乐
7603694590240147472,永远不止一点（果子版）,35.23,抖音热门
7411446553787566081,没有不可能,129.9,运动
7377926328579999780,法式浪漫微醺情调  Romantic Bossa Nova02,194.73,💘情人节
7491937596432467994,活力 动感 潮流 快闪 鼓点,30.5,动感|酷炫
7433492222883399743,活力时尚 Vlog 音,60.0,夏日
7433497191707559955,活力运动旋律,60.0,夏日|运动
7444211890210834459,流畅爵士旋律,60.0,流行
7380249095700432937,流行 欢快 滑稽,106.17,搞怪
7491900724331563020,浪漫优雅 迷情爵士 红粉佳人,204.97,💘情人节
7592462012636219402,浪漫婚礼音乐 Romantic Wedding Piano and Strings一,263.03,💘情人节
7274051839452383244,浪漫法式小资 - Breeze on my Skin,274.37,💘情人节
7592079613595502646,深夜 静谧钢琴（深夜音乐）,189.1,✨最新
7442428028275509299,温暖亲情乐章,60.0,亲情
7377943972453271563,温柔,112.8,治愈|舒缓
7491905758919362623,温柔钢琴 舒缓叙事 你的倒影,161.17,舒缓
