id,name,type,duration,url
14246675,unknown,camera-movement,0,
14246677,SmartMotionI,camera-movement,0,
28175546,LensLock_face_skeleton,camera_tracking,0,
28175562,unknown,camera_tracking,0,
29761512,LensLock_detection_Algo,camera_tracking,0,
6969198138909363492,复古 电视故障雪花屏转场背景,unknown,0,
6969198370221018382,故障雪花屏,unknown,1000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/3b1364f175bd4b00b4a4523e3dead06a~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149180&x-signature=4Hb7iyqIDdnpAm0zVxcTzImQ7aU%3D
6969198370221034766,故障雪花屏,unknown,1000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/c94c964a10974c41ac60ee9632215464~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149180&x-signature=qn1t9QCseaMhw69T7mveFbV%2FPsc%3D
6969198833926491428,复古 故障雪花屏,unknown,1000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/366c5bed675242bab435749163fb683b~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149183&x-signature=a4U%2BsGioMOSKITW%2BXZVxLqPACb0%3D
6969200519621528869,潮酷片头 手机充电完成界面,unknown,0,
6969200708755229988,简约片头 vlog文字,unknown,0,
6969200708755279140,潮酷片头 loading界面加载中,unknown,3000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-i-3jr8j4ixpe/7ab12193a95842348a6a805b6527b91c~tplv-3jr8j4ixpe-resize:640:640.png?x-expires=1804149194&x-signature=kWRC%2FryxEvz28D0tAYIBTx3v4rI%3D
6969200777839578375,简约风 3秒倒计时,unknown,0,
6969200777839594759,科技风片头loading界面加载中,unknown,4000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-i-3jr8j4ixpe/98b84a970aa64215a9a9a60589ca203a~tplv-3jr8j4ixpe-resize:640:640.png?x-expires=1804149183&x-signature=5Qrtekcc0ZIdpYbjlrY9VFWNP%2Fo%3D
6969200777948564744,简约 vlog文字片头，分享喜欢,unknown,0,
6969200965572447524,复古3秒倒计时片头转场,unknown,2000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/69b387c817ae4bc6b2537f32bab10339~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149194&x-signature=gRb0rF3arFiozzMudbx6fD96GDc%3D
6969201044416941342,潮酷 片头loading界面加载中,unknown,0,
6969203859172429092,动漫片尾  the end，结束,unknown,2000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-i-3jr8j4ixpe/3f7145ea91e5473d8f5daea626e256cf~tplv-3jr8j4ixpe-resize:640:640.png?x-expires=1804149196&x-signature=8av2wtx7p7SRhDHSaJu9IrFmCI0%3D
6969206226177576228,动漫转场 海绵宝宝时间片段，一会儿后,unknown,0,
6969206226177608996,动漫转场 海绵宝宝时间片段，然后，之后，later,unknown,0,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/fe27e524a1ae435ea9b112912c3517e9~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149183&x-signature=R5HzZQSu2eAxshSi1SH33jpxki8%3D
6969206226194418957,动漫转场 海绵宝宝时间片段，两个小时后,unknown,2000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/de1c25b6f5a04d80991a860c5de19c0f~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149191&x-signature=y2JsAvjNcuyy3oDDJKRzU5XyJbQ%3D
6969206550233713950,动漫转场 海绵宝宝时间片段，两千年后,unknown,0,
6969206831491108110,动漫转场 海绵宝宝时间片段，明天,unknown,1000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/9d8c5636a76e49dbb27c11027a5153dc~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149191&x-signature=Urfw%2BY4BjYf5q7bMT1EyD3aI80A%3D
6969208122153930021,搞笑片段转场  黑人哭泣,unknown,8000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/1510eb460bc84e0ba24ff5f6f707aea0~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149180&x-signature=qhhNJn524rrTh3Utqd2hauhJnno%3D
6969209167580105997,搞笑转场 土拨鼠叫,unknown,6000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-v-436d67/e8c4eb376de942ce86d1c1b590320715~tplv-3jr8j4ixpe-resize:640:640.jpeg?x-expires=1804149183&x-signature=PkNYs6Kz819LIEtKIsnOAKOIF0w%3D
6969482009043389704,飘雪，雪花，下雪,unknown,0,
6971036278649261347,透明,unknown,8000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-i-3jr8j4ixpe/fdfdb2673848419db4e77dc90eaf3dba~tplv-3jr8j4ixpe-resize:640:640.png?x-expires=1804149180&x-signature=o8hmUq2NEn2n7ld03bEhrs9Va%2BE%3D
6971036278649294115,白场,unknown,8000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-i-3jr8j4ixpe/9c33d7d5b46a458cbaeb9cc840ffc157~tplv-3jr8j4ixpe-resize:640:640.png?x-expires=1804149180&x-signature=VjDqD5Jc1zuvJKYZv9CulDTb%2FEc%3D
6971036565162167586,黑场,unknown,8000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-i-3jr8j4ixpe/eca8c21ae9f847cb84bb16f91739b83e~tplv-3jr8j4ixpe-resize:640:640.png?x-expires=1804149180&x-signature=rID6hCe%2BueHvdOG9SqoUIVSwDkw%3D
6974378975602691365,影视 转场 哈哈哈大笑,unknown,3000,https://p3-heycan-jy-sign.byteimg.com/tos-cn-i-3jr8j4ixpe/7764cb6451ff4fe9a8189a886136703d~tplv-3jr8j4ixpe-resize:640:640.png?x-expires=1804149180&x-signature=62lhl4h7USPuWSGwF4mejXPfipo%3D
6975313917299985701,影视名场面 转场 文章笑,unknown,0,
6979818902578662687,动漫 打响指 片头转场片尾,unknown,0,
6981641164294196510,搞笑 女人大笑,unknown,0,
